__KEY_location;id_u6;name_u4
6;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
6;TUxBUENBUGw3M2E1;Capital Federal
6;TUxBUENIQW8xMTNhOA;Chaco
6;TUxBUENIVXQxNDM1MQ;Chubut
6;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
6;TUxBUENPUmFkZGIw;Córdoba
6;TUxBUENPUnM5MjI0;Corrientes
6;TUxBUEVOVHMzNTdm;Entre Ríos
6;TUxBUExBWmE1OWMy;La Pampa
6;TUxBUEZPUmE1OTk5;Formosa
6;TUxBUFLNT29iZmZm;Río Negro
6;TUxBUFNBTGFjMTJi;Salta
6;TUxBUFNBTm9lOTlk;Santiago Del Estero
6;TUxBUFNBTmU5Nzk2;Santa Fe
6;TUxBUFNBTnM0ZTcz;San Luis
6;TUxBUFNBTno3ZmY5;Santa Cruz
6;TUxBUFpPTmFpbnRl;Buenos Aires Interior
6;TUxBUFRVQ244NmM3;Tucumán
7;TUxBUE1FTmE5OWQ4;Mendoza
7;TUxBUE1JU3MzNjIx;Misiones
7;TUxBUE5FVW4xMzMzNQ;Neuquén
7;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
7;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
7;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
7;TUxBUENBUGw3M2E1;Capital Federal
7;TUxBUENIQW8xMTNhOA;Chaco
7;TUxBUENIVXQxNDM1MQ;Chubut
7;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
7;TUxBUENPUmFkZGIw;Córdoba
7;TUxBUENPUnM5MjI0;Corrientes
7;TUxBUEVOVHMzNTdm;Entre Ríos
7;TUxBUExBWmE1OWMy;La Pampa
7;TUxBUFLNT29iZmZm;Río Negro
7;TUxBUFNBTGFjMTJi;Salta
7;TUxBUFNBTm5lYjU4;San Juan
7;TUxBUFNBTm9lOTlk;Santiago Del Estero
7;TUxBUFNBTmU5Nzk2;Santa Fe
7;TUxBUFNBTnM0ZTcz;San Luis
7;TUxBUFNBTno3ZmY5;Santa Cruz
7;TUxBUFpPTmFpbnRl;Buenos Aires Interior
7;TUxBUFRVQ244NmM3;Tucumán
8;TUxBUE1FTmE5OWQ4;Mendoza
